ex#	token	pos_tag	ner_tag
3	Bekämpfung	NOUN	O
3	notwendig	ADV	O
3	werden	AUX	O
3	kann	AUX	O
3	Azoxystrobin	PROPN	O
3	(	PUNCT	O
3	Ortiva	PROPN	U-Mittel
3	,	PUNCT	O
3	Zoxis	PROPN	B-Mittel
3	Super	NOUN	L-Mittel
3	)	PUNCT	O
3	,	PUNCT	O
3	ein	DET	O
3	Kombipräparat	NOUN	O
3	aus	ADP	O
3	Epoxiconazol	PROPN	O
3	und	CCONJ	O
3	Kresoxim-methyl	PROPN	O
3	(	PUNCT	O
3	Juwel	PROPN	U-Mittel
3	)	PUNCT	O
3	bzw	ADP	O

4	Außerdem	ADV	O
4	Einhaltung	NOUN	O
4	geeigneter	ADJ	O
4	Hygienemaßnahmen	NOUN	O
4	(	PUNCT	O
4	Trennung	NOUN	O
4	der	DET	O
4	Partien	NOUN	O
4	der	DET	O
4	genannten	ADJ	O
4	Arten	NOUN	O
4	/	PUNCT	O
4	Sorten	NOUN	O
4	)	PUNCT	O
4	 	SPACE	O
4	lycopersicum	ADV	O
4	 	SPACE	O
4	1	NUM	O
4	DURCHFÜHRUNGSBESCHLUSS	PROPN	O
4	(	PUNCT	O
4	EU	PROPN	O
4	)	PUNCT	O
4	2020	NUM	O
4	/	PUNCT	O
4	1191	NUM	O
4	über	ADP	O
4	Maßnahmen	NOUN	O
4	zum	ADP	O
4	Schutz	NOUN	O
4	der	DET	O
4	Union	NOUN	O
4	gegen	ADP	O
4	die	DET	O
4	Einschleppung	NOUN	O
4	und	CCONJ	O
4	Ausbreitung	NOUN	O
4	des	DET	O
4	Tomato	NOUN	B-Erreger
4	brown	PROPN	I-Erreger
4	rugose	ADJ	I-Erreger
4	fruit	ADJ	I-Erreger
4	virus	NOUN	L-Erreger
4	(	PUNCT	O
4	ToBRFV	PROPN	U-Erreger
4	)	PUNCT	O
4	und	CCONJ	O
4	zur	ADP	O
4	Aufhebung	NOUN	O
4	des	DET	O
4	Durchführungsbeschlusses	NOUN	O
4	(	PUNCT	O
4	EU	PROPN	O
4	)	PUNCT	O
4	2019	NUM	O
4	/	PUNCT	O
4	1615	NUM	O
4	2	NUM	O
4	Foto	NOUN	O
4	oben	ADV	O
4	Foto	NOUN	O
4	unten	ADV	O
4	links	ADV	O
4	:	PUNCT	O
4	Symptome	NOUN	O
4	an	ADP	O
4	Tomaten	NOUN	U-Kultur
4	Frücchten	NOUN	O
4	-	PUNCT	O
4	Diana	PROPN	O
4	Godínez	PROPN	O
4	(	PUNCT	O
4	EPPO	PROPN	O
4	Global	X	O
4	Database	X	O
4	)	PUNCT	O
4	Foto	NOUN	O
4	unten	ADV	O
4	Mitte	NOUN	O
4	und	CCONJ	O
4	rechts	ADV	O
4	:	PUNCT	O
4	Gewächshaustomaten	NOUN	U-Kultur
4	im	ADP	O
4	Gebiet	NOUN	O
4	von	ADP	O
4	Yurecuaro	PROPN	O
4	/	PUNCT	O
4	Tanhuato	PROPN	O
4	,	PUNCT	O
4	Michoacan	PROPN	O
4	(	PUNCT	O
4	2018	NUM	O
4	,	PUNCT	O
4	Mexico	PROPN	O
4	)	PUNCT	O
4	-	PUNCT	O
4	Diana	PROPN	O
4	Godínez	PROPN	O
4	(	PUNCT	O
4	EPPO	PROPN	O
4	Global	X	O
4	Database	X	O
4	)	PUNCT	O
4	  	SPACE	O
4	Für	ADP	O
4	„	PUNCT	O
4	spezifizierten	ADJ	O
4	Samen	NOUN	O
4	“	PUNCT	O
4	gilt	VERB	O
4	Pflanzenpasspflicht	PROPN	O
4	,	PUNCT	O
4	dieser	PRON	O
4	darf	AUX	O
4	nur	ADV	O
4	ausgestellt	VERB	O
4	werden	AUX	O
4	,	PUNCT	O
4	wenn	SCONJ	O
4	:	PUNCT	O
4	2	NUM	O
4	für	ADP	O
4	das	DET	O
4	Verbringen	NOUN	O
4	innerhalb	ADP	O
4	der	DET	O
4	Union	NOUN	O
4	ebenfalls	ADV	O
4	die	DET	O
4	o	PROPN	O
4	die	DET	O
4	Mutterpflanzen	NOUN	O
4	von	ADP	O
4	Produktionsflächen	NOUN	O
4	stammen	VERB	O
4	,	PUNCT	O
4	die	PRON	O
4	frei	ADV	O
4	von	ADP	O
4	diesem	DET	O
4	Virus	NOUN	O
4	sind	AUX	O

5	Sächsisches	ADJ	O
5	Landesamt	NOUN	O
5	für	ADP	O
5	Umwelt	NOUN	O
5	,	PUNCT	O
5	Landwirtschaft	NOUN	O
5	und	CCONJ	O
5	Geologie	NOUN	O
5	–	PUNCT	O
5	Abteilung	NOUN	O
5	Landwirtschaft	NOUN	O
5	,	PUNCT	O
5	Referat	NOUN	O
5	Pflanzenschutz	NOUN	O
5	;	PUNCT	O
5	Waldheimer	ADJ	O
5	Str.	NOUN	O
5	219	NUM	O
5	,	PUNCT	O
5	01683	NUM	O
5	Nossen	NOUN	O
5	,	PUNCT	O
5	Telefon	NOUN	O
5	(	PUNCT	O
5	035242	NUM	O
5	)	PUNCT	O
5	631	NUM	O
5	-	NUM	O
5	7001	NUM	O
5	,	PUNCT	O
5	Fax	NOUN	O
5	-7399	PROPN	O
5	   	SPACE	O
5	Seite	NOUN	O
5	2	NUM	O
5	von	ADP	O
5	6	NUM	O
5	❙	ADJ	O
5	Lauchmotte	NOUN	U-Erreger
5	–	PUNCT	O
5	der	DET	O
5	Zuflug	NOUN	O
5	in	ADP	O
5	die	DET	O
5	Pheromonfallen	NOUN	O
5	und	CCONJ	O
5	in	ADP	O
5	die	DET	O
5	Bestände	NOUN	O
5	hat	AUX	O
5	wieder	ADV	O
5	zuge-nommen	VERB	O

6	Übergebietliche	ADJ	O
6	Pflanzenschutzberatung	NOUN	O
6	beim	ADP	O
6	Landratsamt	NOUN	O
6	Breisgau-Hochschwarzwald	NOUN	O
6	79	NUM	O
6	206	NUM	O
6	Breisach	PROPN	O
6	Europaplatz	NOUN	O
6	3	NUM	O
6	Tel	PROPN	O
6	:	PUNCT	O
6	0761	NUM	O
6	2187	NUM	O
6	5826.	DET	O
6	E-mail	X	O
6	:	PUNCT	O
6	Alfred.Altmann@lkbh.de	ADP	O
6	Angaben	NOUN	O
6	ohne	ADP	O
6	Gewähr	NOUN	O
6	.	PUNCT	O
6	Bei	ADP	O
6	allen	DET	O
6	Maßnahmen	NOUN	O
6	Gebrauchsanleitung	NOUN	O
6	beachten	VERB	O
6	!	PUNCT	O
6	17	NUM	O
6	  	SPACE	O
6	Bilder	NOUN	O
6	oben	ADV	O
6	:	PUNCT	O
6	Gelege	NOUN	O
6	einer	DET	O
6	Kohleule	NOUN	U-Erreger
6	.	PUNCT	O
6	Alle	DET	O
6	Eier	NOUN	O
6	bis	ADP	O
6	auf	ADP	O
6	eines	PRON	O
6	(	PUNCT	O
6	das	DET	O
6	helle	ADJ	O
6	)	PUNCT	O
6	sind	AUX	O
6	parasitiert	VERB	O

7	Möhrenfliege	NOUN	U-Erreger
7	–	PUNCT	O
7	die	DET	O
7	erste	ADJ	O
7	Generation	NOUN	O
7	hat	AUX	O
7	ihren	DET	O
7	Flug	NOUN	O
7	beendet	VERB	O
7	.	PUNCT	O
7	Insektizidmaßnahmen	NOUN	O
7	sind	AUX	O
7	derzeit	ADV	O
7	nicht	PART	O
7	erforderlich	ADV	O

8	Übergebietliche	ADJ	O
8	Pflanzenschutzberatung	NOUN	O
8	beim	ADP	O
8	Landratsamt	NOUN	O
8	Breisgau-Hochschwarzwald	NOUN	O
8	79	NUM	O
8	206	NUM	O
8	Breisach	PROPN	O
8	Europaplatz	NOUN	O
8	3	NUM	O
8	Tel	PROPN	O
8	:	PUNCT	O
8	0761	NUM	O
8	2187	NUM	O
8	5826.	DET	O
8	E-mail	X	O
8	:	PUNCT	O
8	Alfred.Altmann@lkbh.de	ADP	O
8	Angaben	NOUN	O
8	ohne	ADP	O
8	Gewähr	NOUN	O
8	.	PUNCT	O
8	Bei	ADP	O
8	allen	DET	O
8	Maßnahmen	NOUN	O
8	Gebrauchsanleitung	NOUN	O
8	beachten	VERB	O
8	!	PUNCT	O
8	13	NUM	O
8	  	SPACE	O
8	DuPont	PROPN	B-Mittel
8	Bene-via	NOUN	I-Mittel
8	Proman	PROPN	L-Mittel
8	Tabelle	PROPN	O
8	:	PUNCT	O
8	Neue	ADJ	O
8	Zulassungserweiterungen	NOUN	O
8	,	PUNCT	O
8	Zulassungen	NOUN	O
8	und	CCONJ	O
8	Änderungen	NOUN	O
8	(	PUNCT	O
8	Stand	NOUN	O
8	29.06.2017	PROPN	O
8	)	PUNCT	O
8	Präparat	NOUN	O
8	Kultur	NOUN	O
8	Schaderreger	ADJ	O
8	Anwendung	NOUN	O
8	Aufwand-menge	ADV	O
8	(	PUNCT	O
8	„	PUNCT	O
8	Notfall“-)Zulassung	NOUN	O
8	nach	ADP	O
8	Art	NOUN	O
8	.	NOUN	O
8	53	NUM	O
8	Abs.	NOUN	O
8	1	NUM	O
8	der	DET	O
8	VO	PROPN	O
8	(	PUNCT	O
8	EG	PROPN	O
8	)	PUNCT	O
8	1107	NUM	O
8	/	PUNCT	O
8	2009	NUM	O
8	i.	PROPN	O
8	Verb	PROPN	O
8	.	PUNCT	O
8	mit	ADP	O
8	§	NOUN	O
8	12	NUM	O
8	PflSchG	NOUN	O
8	vom	ADP	O
8	28.06.2017	NOUN	O
8	bis	ADP	O
8	zum	ADP	O
8	25.10.2017	NOUN	O
8	für	ADP	O
8	120	NUM	O
8	Tage	NOUN	O
8	Brokkoli	X	U-Kultur
8	,	PUNCT	O
8	Wirsing	PROPN	U-Kultur
8	Kleine	ADJ	B-Erreger
8	Kohlfliege	NOUN	L-Erreger
8	1	NUM	O
8	x	X	O
8	0,75	NUM	O
8	l	PROPN	O
8	/	PUNCT	O
8	ha	X	O
8	Nach	ADP	O
8	festgestelltem	ADJ	O
8	Befall	NOUN	O
8	und	CCONJ	O
8	Warndienstaufruf	NOUN	O
8	WF=7	NOUN	O
8	(	PUNCT	O
8	„	PUNCT	O
8	Notfall“-)Zulassung	NOUN	O
8	nach	ADP	O
8	Art	NOUN	O
8	.	NOUN	O
8	53	NUM	O
8	Abs.	NOUN	O
8	1	NUM	O
8	der	DET	O
8	VO	PROPN	O
8	(	PUNCT	O
8	EG	PROPN	O
8	)	PUNCT	O
8	1107	NUM	O
8	/	PUNCT	O
8	2009	NUM	O
8	i.	PROPN	O
8	Verb	PROPN	O
8	.	PUNCT	O
8	mit	ADP	O
8	§	NOUN	O
8	12	NUM	O
8	PflSchG	NOUN	O
8	vom	ADP	O
8	27.06.2017	NOUN	O
8	bis	ADP	O
8	zum	ADP	O
8	24.10.2017	NOUN	O
8	für	ADP	O
8	120	NUM	O
8	Tage	NOUN	O
8	Feldsalat	NOUN	U-Kultur
8	Unkräuter	NOUN	U-Erreger
8	1	NUM	O
8	x	X	O
8	1	NUM	O
8	l	PROPN	O
8	/	PUNCT	O
8	ha	X	O
8	Vor	ADP	O
8	dem	DET	O
8	Auflaufen	NOUN	U-BBCH_Stadium
8	,	PUNCT	O
8	unmittelbar	ADV	O
8	nach	ADP	O
8	Saat	NOUN	O
8	*	NOUN	O
8	)	PUNCT	O
8	„	PUNCT	O
8	=	X	O
8	F	PROPN	O
8	“	PUNCT	O
8	in	ADP	O
8	der	DET	O
8	Spalte	NOUN	O
8	„	PUNCT	O
8	Wartezeit	NOUN	O
8	“	PUNCT	O
8	bedeutet	VERB	O
8	,	PUNCT	O
8	dass	SCONJ	O
8	die	DET	O
8	Ausweisung	NOUN	O
8	einer	DET	O
8	Wartezeit	NOUN	O
8	in	ADP	O
8	dieser	DET	O
8	Anwendung	NOUN	O
8	nicht	PART	O
8	erforderlich	ADV	O
8	ist	AUX	O

9	Gegen	ADP	O
9	Zikadenlarven	NOUN	U-Erreger
9	können	AUX	O
9	Insektizide	NOUN	O
9	gegen	ADP	O
9	saugende	ADJ	B-Erreger
9	Insekten	NOUN	L-Erreger
9	angewendet	VERB	O
9	werden	AUX	O
9	z.	ADP	O
9	B.	NOUN	O
9	Calypso	X	U-Mittel
9	,	PUNCT	O
9	Ka-rate	VERB	B-Mittel
9	Zeon	PROPN	L-Mittel
9	,	PUNCT	O
9	Spruzit	NOUN	B-Mittel
9	Schädlingsfrei	NOUN	L-Mittel
9	,	PUNCT	O
9	NeemAzal-T	PROPN	B-Mittel
9	/	PUNCT	I-Mittel
9	S	PROPN	L-Mittel
9	,	PUNCT	O
9	Lamdex	PROPN	B-Mittel
9	Forte	PROPN	L-Mittel

10	Präparat	NOUN	O
10	(	PUNCT	O
10	Wirkstoff	NOUN	O
10	)	PUNCT	O
10	008883	NUM	O
10	-	NUM	O
10	00	NUM	O
10	OROCIDE	PROPN	B-Mittel
10	PLUS	PROPN	L-Mittel
10	(	PUNCT	O
10	Orangenöl	NOUN	O
10	)	PUNCT	O
10	Zulassung	NOUN	O
10	bis	ADP	O
10	:	PUNCT	O
10	30.04.25	PUNCT	O
10	Wartezeit	NOUN	O
10	Tage	NOUN	O
10	1	NUM	O
10	Anwendungen	NOUN	O
10	Gemüsepaprika	PROPN	U-Kultur
10	,	PUNCT	O
10	To-mate	PROPN	U-Kultur
10	:	PUNCT	O
10	Ei	NOUN	O
10	bis	ADP	O
10	Imago	PROPN	O
10	uG	PROPN	O
10	:	PUNCT	O
10	max.	PROPN	O
10	5	NUM	O
10	,	PUNCT	O
10	BBCH	PROPN	B-BBCH_Stadium
10	12	NUM	I-BBCH_Stadium
10	-	NUM	I-BBCH_Stadium
10	89	NUM	L-BBCH_Stadium
10	2,0	NUM	O
10	-	PUNCT	O
10	4,0	NUM	O
10	l	PROPN	O
10	/	PUNCT	O
10	ha	X	O
10	Abstand	NOUN	O
10	:	PUNCT	O
10	7	NUM	O
10	Tage	NOUN	O
10	H2O	PROPN	O
10	:	PUNCT	O
10	250	NUM	O
10	-	NUM	O
10	1000	NUM	O
10	l	X	O
10	/	PUNCT	O
10	ha	PROPN	O
10	Bemerkungen	NOUN	O
10	B4	NOUN	O
10	NW470	PROPN	O
10	,	PUNCT	O
10	SE110	PROPN	O
10	,	PUNCT	O
10	SS110	PROPN	O
10	-	PROPN	O
10	1	NUM	O
10	,	PUNCT	O
10	SS2101	PROPN	O
10	,	PUNCT	O
10	WP732	PROPN	O
10	Art	NOUN	O
10	.	NOUN	O
10	51	NUM	O
10	Anwendungsbestimmungen	NOUN	O
10	/	PUNCT	O
10	Auflagen	NOUN	O
10	:	PUNCT	O
10	SS2101	PROPN	O
10	:	PUNCT	O
10	Schutzanzug	NOUN	O
10	gegen	ADP	O
10	Pflanzenschutzmittel	NOUN	O
10	und	CCONJ	O
10	festes	ADJ	O
10	Schuhwerk	NOUN	O
10	(	PUNCT	O
10	z.	ADP	O
10	B.	NOUN	O
10	Gummistiefel	NOUN	O
10	)	PUNCT	O
10	tragen	VERB	O
10	beim	ADP	O
10	Um-gang	NOUN	O
10	mit	ADP	O
10	dem	DET	O
10	unverdünnten	ADJ	O
10	Mittel	NOUN	O

11	Marienkäfer	NOUN	O
11	,	PUNCT	O
11	Marienkäferlarven	NOUN	O
11	,	PUNCT	O
11	Marienkäfereier	NOUN	O
11	sowie	CCONJ	O
11	Gallmückenlarven	NOUN	U-Erreger
11	)	PUNCT	O
11	.	PUNCT	O
11	Erste	ADJ	O
11	Salatblattläuse	NOUN	O
11	wurden	AUX	O
11	gefunden	VERB	O
11	.	PUNCT	O
11	In	ADP	O
11	Erbsen	PROPN	U-Kultur
11	ist	AUX	O
11	auf	ADP	O
11	die	DET	O
11	Bildung	NOUN	O
11	von	ADP	O
11	Kolonien	NOUN	O
11	der	DET	O
11	Erbsenblattläuse	PROPN	U-Erreger
11	zu	PART	O
11	kontrollieren	VERB	O

12	Bei	ADP	O
12	wieder	ADV	O
12	einsetzender	ADJ	O
12	sonnenscheinreicher	ADJ	O
12	Witterung	NOUN	O
12	sind	AUX	O
12	Infektionen	NOUN	O
12	durch	ADP	O
12	den	DET	O
12	Echten	NOUN	B-Erreger
12	Mehltau	NOUN	L-Erreger
12	zu	PART	O
12	erwarten	VERB	O
12	.	PUNCT	O
12	Die	DET	O
12	hochsommerlichen	ADJ	O
12	Temperaturen	NOUN	O
12	begünstigen	VERB	O
12	vor	ADP	O
12	allem	PRON	O
12	Schadschmetterlinge	NOUN	U-Erreger
12	,	PUNCT	O
12	Thripse	NOUN	U-Erreger
12	und	CCONJ	O
12	Wanzen	NOUN	U-Erreger

13	Erwachsene	NOUN	O
13	Räuberische	ADJ	B-Mittel
13	Gallmücken	NOUN	L-Mittel
13	(	PUNCT	O
13	Aphidoletes	ADJ	B-Mittel
13	aphidimyza	ADV	L-Mittel
13	)	PUNCT	O
13	werden	AUX	O
13	dagegen	ADV	O
13	sehr	ADV	O
13	stark	ADV	O
13	geschädigt	VERB	O
13	,	PUNCT	O
13	für	ADP	O
13	ihre	DET	O
13	Larven	NOUN	O
13	ist	AUX	O
13	Pirimor	NOUN	B-Mittel
13	Granulat	NOUN	L-Mittel
13	wiederum	ADV	O
13	harmlos	ADV	O
13	.	PUNCT	O
13	Nach	ADP	O
13	der	DET	O
13	Anwen-dung	NOUN	O
13	des	DET	O
13	Präparates	NOUN	O
13	sollte	AUX	O
13	deshalb	ADV	O
13	eine	DET	O
13	Zeitspanne	NOUN	O
13	von	ADP	O
13	einer	DET	O
13	Woche	NOUN	O
13	bis	ADP	O
13	zum	ADP	O
13	nächsten	ADJ	O
13	Gall-mücken-Einsatz	NOUN	O
13	berücksichtigt	VERB	O
13	werden	AUX	O

14	Präparat	NOUN	O
14	(	PUNCT	O
14	Wirkstoff	NOUN	O
14	)	PUNCT	O
14	Wartezeit	NOUN	O
14	Tage	NOUN	O
14	Anwendungen	NOUN	O
14	007495	NUM	O
14	-	PUNCT	O
14	00	NUM	O
14	Prestop	PROPN	U-Mittel
14	(	PUNCT	O
14	Clonostachys	PROPN	O
14	rosea	PROPN	O
14	)	PUNCT	O
14	Zulassung	NOUN	O
14	bis	ADP	O
14	:	PUNCT	O
14	31.07.21	X	O
14	F	PROPN	O
14	Blattgemüse	PROPN	U-Kultur
14	,	PUNCT	O
14	Fri-sche	PROPN	B-Kultur
14	Kräuter	PROPN	L-Kultur
14	,	PUNCT	O
14	Kohl-gemüse	PROPN	U-Kultur
14	:	PUNCT	O
14	uG(1	PROPN	O
14	):	PUNCT	O
14	max.	PROPN	O
14	3	NUM	O
14	,	PUNCT	O
14	10,0	NUM	O
14	g	X	O
14	/	PUNCT	O
14	m²	PROPN	O
14	gießen	VERB	O
14	Ab-stand	NOUN	O
14	:	PUNCT	O
14	mind.	ADV	O
14	21	NUM	O
14	Tage	NOUN	O
14	H2O	PROPN	O
14	:	PUNCT	O
14	0,5	NUM	O
14	-	PUNCT	O
14	1,0	NUM	O
14	l	PROPN	O
14	/	PUNCT	O
14	m²	PROPN	O
14	Bemerkungen	NOUN	O
14	B3	PROPN	O
14	SF252	PROPN	O
14	,	PUNCT	O
14	SF261	PROPN	O
14	-	PUNCT	O
14	1	NUM	O
14	Art	NOUN	O
14	.	PUNCT	O
14	51	NUM	O
14	uG(1	PROPN	O
14	)	PUNCT	O
14	=	X	O
14	geschlossene	ADJ	O
14	Kultivierungsanlagen	NOUN	O
14	in	ADP	O
14	Gebäuden	NOUN	O
14	Erläuterungen	NOUN	O
14	:	PUNCT	O
14	Flächen	NOUN	O
14	die	DET	O
14	für	ADP	O
14	die	DET	O
14	Allgemeinheit	NOUN	O
14	bestimmt	VERB	O
14	sind	AUX	O
14	in	ADP	O
14	öffentlich	ADV	O
14	zugänglichen	ADJ	O
14	Gebäuden	NOUN	O
14	(	PUNCT	O
14	Innen-raum	PROPN	O
14	)	PUNCT	O
14	Anwendungsbestimmungen	NOUN	O
14	/	PUNCT	O
14	Auflagen	NOUN	O
14	:	PUNCT	O
14	SF252	ADV	O
14	:	PUNCT	O
14	Die	DET	O
14	Öffentlichkeit	NOUN	O
14	ist	AUX	O
14	in	ADP	O
14	geeigneter	ADJ	O
14	Weise	NOUN	O
14	(	PUNCT	O
14	z.	ADP	O
14	B.	NOUN	O
14	durch	ADP	O
14	das	DET	O
14	Aufstellen	NOUN	O
14	von	ADP	O
14	Warnschildern	NOUN	O
14	vor	ADP	O
14	Ort	NOUN	O
14	während	ADV	O
14	und	CCONJ	O
14	bis	ADP	O
14	mindestens	ADV	O
14	48	NUM	O
14	h	X	O
14	nach	ADP	O
14	der	DET	O
14	Anwendung	NOUN	O
14	)	PUNCT	O
14	über	ADP	O
14	den	DET	O
14	Einsatz	NOUN	O
14	von	ADP	O
14	Pflanzenschutzmitteln	NOUN	O
14	zu	PART	O
14	informieren	VERB	O

15	Das	DET	O
15	Erstauftreten	NOUN	O
15	des	DET	O
15	Spargelkäfers	NOUN	U-Erreger
15	wurde	AUX	O
15	am	ADP	O
15	30.04.	NOUN	O
15	im	ADP	O
15	Landkreis	NOUN	O
15	Teltow-Fläming	PROPN	O
15	und	CCONJ	O
15	Frankfurt	PROPN	O
15	(	PUNCT	O
15	Oder	PROPN	O
15	)	PUNCT	O
15	registriert	VERB	O
15	.	PUNCT	O
15	In	ADP	O
15	der	DET	O
15	Regel	NOUN	O
15	ist	AUX	O
15	kurz	ADV	O
15	darauf	ADV	O
15	auch	ADV	O
15	das	DET	O
15	Erstauftreten	NOUN	O
15	des	DET	O
15	eng	ADV	O
15	verwandten	ADJ	O
15	Spargelhähnchens	NOUN	U-Erreger
15	zu	PART	O
15	beobachten	VERB	O

16	Weiterhin	ADV	O
16	sollten	AUX	O
16	die	DET	O
16	Nebenwirkungen	NOUN	O
16	von	ADP	O
16	SpinTor	PROPN	U-Mittel
16	,	PUNCT	O
16	welches	PRON	O
16	in	ADP	O
16	verschiedenem	ADJ	O
16	Kohlgemüse	NOUN	U-Kultur
16	(	PUNCT	O
16	nicht	PART	O
16	aber	ADV	O
16	in	ADP	O
16	Radies	PROPN	U-Kultur
16	,	PUNCT	O
16	Rettich	PROPN	U-Kultur
16	)	PUNCT	O
16	gegen	ADP	O
16	Thrips	NOUN	U-Erreger
16	und	CCONJ	O
16	Schadschmetterlingsraupen	NOUN	U-Erreger
16	ge-nehmigt	VERB	O
16	ist	AUX	O
16	,	PUNCT	O
16	ausgenutzt	VERB	O
16	werden	AUX	O

17	 	SPACE	O
17	Bild	NOUN	O
17	14	NUM	O
17	-	PUNCT	O
17	15	NUM	O
17	:	PUNCT	O
17	Kohlfliegeneier	PROPN	O
17	(	PUNCT	O
17	Foto	NOUN	O
17	:	PUNCT	O
17	Münster	PROPN	O
17	,	PUNCT	O
17	LfULG	PROPN	O
17	)	PUNCT	O
17	❙	ADJ	O
17	Örtlich	NOUN	O
17	sind	AUX	O
17	an	ADP	O
17	Gemüseerbsen	NOUN	U-Kultur
17	starke	ADJ	O
17	Fraßschäden	NOUN	O
17	durch	ADP	O
17	Blattrandkäfer	PROPN	U-Erreger
17	(	PUNCT	O
17	Sitona-Arten	NOUN	U-Erreger
17	z.	ADP	O
17	B.	NOUN	O
17	der	DET	O
17	Gestreifte	ADJ	B-Erreger
17	Blattrandkäfer	NOUN	L-Erreger
17	(	PUNCT	O
17	S.	NOUN	B-Erreger
17	lineatus	PROPN	L-Erreger
17	)	PUNCT	O
17	zu	PART	O
17	beobachten	VERB	O

19	Eine	DET	O
19	biologische	ADJ	O
19	Bekämpfung	NOUN	O
19	auf	ADP	O
19	verseuchten	ADJ	O
19	Flächen	NOUN	O
19	gegen	ADP	O
19	die	DET	O
19	Dauerkörper	NOUN	O
19	des	DET	O
19	Erregers	NOUN	O
19	kann	AUX	O
19	mit	ADP	O
19	dem	DET	O
19	antago-nistischen	ADJ	O
19	Pilz	NOUN	O
19	Coniothyrium	NOUN	O
